title,Seasons,Cancelled,genre,Country,Type,Premiere Year,Finale Year
Turn Up Charlie,1.0,1.0,British TV,United Kingdom,TV Show,2019,2019.0
Huge in France,1.0,1.0,TV Comedies,United States,TV Show,2019,2019.0
Special,2.0,0.0,TV Comedies,United States,TV Show,2019,2021.0
Lunatics,1.0,1.0,International TV,Australia,TV Show,2019,2019.0
Bonding,2.0,0.0,,,TV Show,2019,2021.0
Dead to Me,3.0,0.0,TV Comedies,United States,TV Show,2019,2022.0
It's Bruno!,1.0,1.0,TV Comedies,United States,TV Show,2019,2019.0
Mr. Iglesias,3.0,0.0,TV Comedies,United States,TV Show,2019,2020.0
The Politician,2.0,0.0,TV Comedies,United States,TV Show,2019,2020.0
Living with Yourself,1.0,1.0,TV Comedies,United States,TV Show,2019,2019.0
Daybreak,1.0,1.0,TV Action,United States,TV Show,2019,2019.0
Merry Happy Whatever,1.0,1.0,TV Comedies,United States,TV Show,2019,2019.0
Astronomy Club: The Sketch Show,1.0,1.0,TV Comedies,United States,TV Show,2019,2019.0
AJ and the Queen,1.0,1.0,TV Comedies,United States,TV Show,2020,2020.0
Medical Police,1.0,1.0,Crime TV,United States,TV Show,2020,2020.0
Gentefied,2.0,0.0,TV Comedies,United States,TV Show,2020,2021.0
I Am Not Okay with This,1.0,1.0,,,TV Show,2020,2020.0
The Iliza Shlesinger Sketch Show,1.0,1.0,TV Comedies,United States,TV Show,2020,2020.0
Brews Brothers,1.0,1.0,TV Comedies,United States,TV Show,2020,2020.0
#blackAF,1.0,1.0,TV Comedies,United States,TV Show,2020,2020.0
Never Have I Ever,4.0,0.0,TV Comedies,United States,TV Show,2020,2023.0
Space Force,2.0,0.0,TV Comedies,United States,TV Show,2020,2022.0
Teenage Bounty Hunters,1.0,1.0,Crime TV,United States,TV Show,2020,2020.0
The Duchess,1.0,1.0,British TV,United Kingdom,TV Show,2020,2020.0
Sneakerheads,1.0,1.0,TV Comedies,United States,TV Show,2020,2020.0
Aunty Donna's Big Ol' House of Fun,1.0,1.0,TV Comedies,Australia,TV Show,2020,2020.0
The Crew,1.0,1.0,Action,"United States, France",TV Show,2021,2021.0
The Chair,1.0,1.0,,,TV Show,2021,2021.0
Pretty Smart,1.0,1.0,,,TV Show,2021,2021.0
Decoupled,1.0,1.0,,,TV Show,2021,2021.0
The Woman in the House Across the Street from the Girl in the Window,1.0,1.0,,,TV Show,2022,2022.0
Murderville,1.0,1.0,,,TV Show,2022,2022.0
Eternally Confused and Eager for Love,1.0,1.0,,,TV Show,2022,2022.0
Hard Cell,1.0,1.0,,,TV Show,2022,2022.0
The Pentaverate,1.0,1.0,,,TV Show,2022,2022.0
God's Favorite Idiot,1.0,1.0,,,TV Show,2022,2022.0
"Boo, Bitch",1.0,1.0,,,TV Show,2022,2022.0
Uncoupled,1.0,1.0,,,TV Show,2022,2022.0
Chad and JT Go Deep,1.0,1.0,,,TV Show,2022,2022.0
Blockbuster,1.0,1.0,Comedies,France,"TV Show, Movie",2022,2022.0
Freeridge,1.0,1.0,,,TV Show,2023,2023.0
Richie Rich,2.0,0.0,Kids,United States,TV Show,2015,2015.0
Project Mc2,6.0,0.0,,,TV Show,2015,2017.0
Fuller House,5.0,0.0,TV Comedies,United States,TV Show,2016,2020.0
Haters Back Off,2.0,0.0,TV Comedies,United States,TV Show,2016,2017.0
One Day at a Time,3.0,0.0,TV Comedies,United States,TV Show,2017,2019.0
A Series of Unfortunate Events,3.0,0.0,Kids,United States,TV Show,2017,2019.0
Julie's Greenroom,1.0,1.0,Kids,United States,TV Show,2017,2017.0
Free Rein,3.0,0.0,British TV,United States,TV Show,2017,2019.0
Greenhouse Academy,4.0,0.0,Kids,United States,TV Show,2017,2020.0
Alexa & Katie,4.0,0.0,Kids,United States,TV Show,2018,2020.0
Lost in Space,3.0,0.0,TV Action,United States,TV Show,2018,2021.0
The Who Was? Show,1.0,1.0,Kids,United States,TV Show,2018,2018.0
All About the Washingtons,1.0,1.0,TV Comedies,United States,TV Show,2018,2018.0
The Ponysitters Club,2.0,0.0,,,TV Show,2018,2018.0
Best.Worst.Weekend.Ever.,1.0,1.0,Kids,United States,TV Show,2018,2018.0
Brainchild,1.0,1.0,Kids,,TV Show,2018,2018.0
Prince of Peoria,2.0,0.0,Kids,United States,TV Show,2018,2019.0
No Good Nick,2.0,0.0,Kids,United States,TV Show,2019,2019.0
Malibu Rescue: The Series,1.0,1.0,Kids,United States,TV Show,2019,2019.0
Family Reunion,5.0,0.0,Kids,United States,TV Show,2019,2022.0
The Dark Crystal: Age of Resistance,1.0,1.0,TV Action,"United Kingdom, United States, United Kingdom",TV Show,2019,2019.0
Team Kaylie,3.0,0.0,Kids,United States,TV Show,2019,2020.0
Raising Dion,2.0,0.0,Kids,United States,TV Show,2019,2022.0
Dolly Parton's Heartstrings,1.0,1.0,TV Dramas,United States,TV Show,2019,2019.0
The Healing Powers of Dude,1.0,1.0,Kids,,TV Show,2020,2020.0
Ashley Garcia: Genius in Love,3.0,0.0,,,TV Show,2020,2020.0
The Letter for the King,1.0,1.0,British TV,United Kingdom,TV Show,2020,2020.0
The Big Show Show,2.0,0.0,Kids,United States,TV Show,2020,2020.0
The Baby-Sitters Club,2.0,0.0,Kids,United States,TV Show,2020,2021.0
Emily's Wonder Lab,1.0,1.0,Kids,United States,TV Show,2020,2020.0
Bookmarks,1.0,1.0,Kids,United States,TV Show,2020,2020.0
Julie and the Phantoms,1.0,1.0,Kids,United States,TV Show,2020,2020.0
Izzy's Koala World,2.0,0.0,Kids,Australia,TV Show,2020,2021.0
Selena: The Series,2.0,0.0,TV Dramas,"Mexico, United States, Mexico",TV Show,2020,2021.0
Zero Chill,1.0,1.0,,United Kingdom,TV Show,2021,2021.0
Waffles + Mochi,1.0,1.0,,United States,TV Show,2021,2021.0
Country Comfort,1.0,1.0,,United States,TV Show,2021,2021.0
Dad Stop Embarrassing Me!,1.0,1.0,,United States,TV Show,2021,2021.0
Scaredy Cats,1.0,1.0,,,TV Show,2021,2021.0
Super PupZ,1.0,1.0,,,TV Show,2022,2022.0
The Last Bus,1.0,1.0,,,TV Show,2022,2022.0
Man vs. Bee,1.0,1.0,,,TV Show,2022,2022.0
Gymnastics Academy: A Second Chance!,1.0,1.0,,,TV Show,2022,2022.0
Phantom Pups,1.0,1.0,,,TV Show,2022,2022.0
Waffles + Mochi's Restaurant,1.0,1.0,,,TV Show,2022,2022.0
BoJack Horseman,6.0,0.0,TV Comedies,United States,TV Show,2014,2020.0
F Is for Family,5.0,0.0,,,TV Show,2015,2021.0
Neo Yokio,2.0,0.0,TV Comedies,United States,TV Show,2017,2018.0
